,mode,opurp,travday,tripno,vocc,bridge1,bridge2,county,workcnty,business,occuptn,vehicle,hour,hour_sin,hour_cos,target,otime
57904,1,2,4,4,1,0,0,3,3,0,3,1,0,0.0,1.0,3.4011973816621555,58
57906,1,2,2,2,1,0,0,3,3,4,3,0,18,-1.0,-1.8369701987210297e-16,3.4339872044851463,1800
57915,1,2,3,2,1,0,0,3,4,4,1,1,18,-1.0,-1.8369701987210297e-16,4.8283137373023015,1800
57917,2,11,3,2,3,0,0,3,9999999,9999999,9999999,0,13,-0.2588190451025208,-0.9659258262890683,4.31748811353631,1350
57919,1,2,3,2,1,0,0,3,3,4,2,2,17,-0.9659258262890683,-0.25881904510252063,3.713572066704308,1700
57921,1,5,3,2,1,0,0,3,9999999,9999999,9999999,1,10,0.49999999999999994,-0.8660254037844387,3.912023005428146,1050
57932,22,2,4,2,0,0,0,3,9999999,9,3,0,17,-0.9659258262890683,-0.25881904510252063,3.2188758248682006,1700
57935,2,7,1,3,7,0,0,3,9999999,9,6,2,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
57938,1,7,1,3,7,0,0,3,3,4,10,2,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
57941,2,7,1,3,7,0,0,3,9999999,9999999,9999999,2,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
57944,2,7,1,3,7,0,0,3,9999999,9999999,9999999,2,20,-0.8660254037844386,0.5000000000000001,3.2188758248682006,2050
57946,2,2,1,2,2,0,0,3,9999999,4,2,1,17,-0.9659258262890683,-0.25881904510252063,4.68213122712422,1700
57948,1,2,1,3,2,0,0,3,9999999,4,1,1,16,-0.8660254037844384,-0.5000000000000004,4.8283137373023015,1683
57950,1,2,1,2,1,0,0,3,9999999,7,4,2,18,-1.0,-1.8369701987210297e-16,3.58351893845611,1800
57972,1,10,2,18,1,0,0,3,3,0,8,2,16,-0.8660254037844384,-0.5000000000000004,4.060443010546419,1675
57978,2,13,2,7,2,0,0,3,3,0,5,0,0,0.0,1.0,3.4965075614664802,50
